gene_set,avg_posterior_prob,rep1,rep2,rep3,rep4,rep5
GO:0006869,1,1,1,1,1,1
GO:0033214,1,1,1,1,1,1
GO:0034061,1,1,1,1,1,1
GO:0015891,0.9648631999999999,0.962852,0.969938,0.973306,0.96536,0.95286
GO:0008381,0.8001695999999999,1,8.48e-4,1,1,1
GO:0034220,0.2,0,1,0,0,0
GO:0032150,0.0085644,9.52e-4,0.022116,0.006618,0.007046,0.00609
GO:0043846,0.0064232,0,0.003408,0.008294,0.009436,0.010978
GO:0015343,0.0050916,2.8e-4,0.011468,0.010006,0.002272,0.001432
GO:0038023,0.0044148,0.003374,0.004618,0,0.002732,0.01135
GO:0098716,0.0042732,0.004466,0.013474,0.003426,0,0
GO:0071897,0.0027216000000000002,4.14e-4,0.0041,6.88e-4,0,0.008406
GO:0009360,0.0026692,0.004668,0,0,0,0.008678
GO:0005351,0.0025344,0,0.008296,0.003716,6.6e-4,0
GO:0015675,0.0020016,0,0.002738,0,0.00727,0
GO:0070689,0.0018076,0,0,0.005148,0,0.00389
GO:0015620,6.812000000000001e-4,0,0,0,0.003406,0
GO:0097638,5.524e-4,0,0.002762,0,0,0
GO:0008706,4.152e-4,0,0,0,0,0.002076
GO:0016036,3.8e-4,0,0.0019,0,0,0
