gene_set,avg_posterior_prob,rep1,rep2,rep3,rep4,rep5
GO:0003684,1,1,1,1,1,1
GO:0003689,1,1,1,1,1,1
GO:0004180,1,1,1,1,1,1
GO:0005667,1,1,1,1,1,1
GO:0006284,1,1,1,1,1,1
GO:0006313,1,1,1,1,1,1
GO:0006351,1,1,1,1,1,1
GO:0006401,1,1,1,1,1,1
GO:0006465,1,1,1,1,1,1
GO:0006730,1,1,1,1,1,1
GO:0008270,1,1,1,1,1,1
GO:0009086,1,1,1,1,1,1
GO:0009088,1,1,1,1,1,1
GO:0009250,1,1,1,1,1,1
GO:0009306,1,1,1,1,1,1
GO:0010447,1,1,1,1,1,1
GO:0015171,1,1,1,1,1,1
GO:0016887,1,1,1,1,1,1
GO:0019380,1,1,1,1,1,1
GO:0019568,1,1,1,1,1,1
