dataset	cancer_name	reference_group	test_group	reference_size	test_size	total_samples	total_genes
BLCA	Bladder Urothelial Carcinoma	0	1	19	19	38	12078
BRCA	Breast invasive carcinoma	0	1	113	113	226	12367
COAD	Colon adenocarcinoma	0	1	41	41	82	12102
HNSC	Head and Neck squamous cell carcinoma	0	1	43	43	86	11623
KICH	Kidney Chromophobe	0	1	25	25	50	12099
KIRC	Kidney renal clear cell carcinoma	0	1	72	72	144	12292
KIRP	Kidney renal papillary cell carcinoma	0	1	32	32	64	12268
LIHC	Liver hepatocellular carcinoma	0	1	50	50	100	10606
LUAD	Lung adenocarcinoma	0	1	58	58	116	12315
LUSC	Lung squamous cell carcinoma	0	1	51	51	102	12329
PRAD	Prostate adenocarcinoma	0	1	52	52	104	12267
READ	Rectum adenocarcinoma	0	1	9	9	18	12175
STAD	Stomach adenocarcinoma	0	1	34	34	68	12205
THCA	Thyroid carcinoma	0	1	59	59	118	12022
UCEC	Uterine Corpus Endometrial Carcinoma	0	1	23	23	46	12135
